Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
DLPN,"Dolphin Entertainment, Inc.",3.99,$26.18M,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dlpn,
DOMO,"Domo, Inc.",70.03,$2.1B,2018.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/domo,
DGICA,"Donegal Group, Inc.",14.2,$422.76M,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/dgica,
DGICB,"Donegal Group, Inc.",12.7517,$379.64M,1986.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/dgicb,
DMLP,"Dorchester Minerals, L.P.",12.89,$447.02M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dmlp,
DORM,"Dorman Products, Inc.",97.76,$3.16B,,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dorm,
DOYU,DouYu International Holdings Limited,12.14,$3.9B,2019.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/doyu,
DKNG,DraftKings Inc.,53.7,$21.04B,2019.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/dkng,
LYL,Dragon Victory International Limited,2.55,$29.12M,2017.0,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/lyl,
DGNS,Dragoneer Growth Opportunities Corp. II,12.89,$407.07M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/dgns,
DBX,"Dropbox, Inc.",22.08,$9.13B,2018.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dbx,
DSPG,"DSP Group, Inc.",15.92,$375.67M,1994.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/dspg,
DCT,"Duck Creek Technologies, Inc.",45.75,$5.99B,2020.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dct,
DSAC,Duddell Street Acquisition Corp.,10.28,$224.88M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/dsac,
DSACU,Duddell Street Acquisition Corp.,10.95,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/dsacu,
DLTH,Duluth Holdings Inc.,12.66,$415.6M,2015.0,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/dlth,
DUNEU,Dune Acquisition Corporation,10.35,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/duneu,
DUOT,"Duos Technologies Group, Inc.",5.655,$19.98M,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/duot,
DRRX,DURECT Corporation,2.03,$412.45M,2000.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/drrx,
DXPE,"DXP Enterprises, Inc.",26.47,$470.92M,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dxpe,
DYAI,"Dyadic International, Inc.",5.31,$145.93M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/dyai,
DYNT,Dynatronics Corporation,1.03,$14.82M,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dynt,
DVAX,Dynavax Technologies Corporation,5.13,$565.19M,2004.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dvax,
DYN,"Dyne Therapeutics, Inc.",28.61,$1.3B,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dyn,
DZSI,DZS Inc.,17.05,$368.97M,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/dzsi,
ETAC,E.Merge Technology Acquisition Corp.,10.35,$788.67M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/etac,
ETACU,E.Merge Technology Acquisition Corp.,11.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/etacu,
SSP,E.W. Scripps Company (The),14.84,$1.21B,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/ssp,
EBMT,"Eagle Bancorp Montana, Inc.",21.96,$148.36M,,Finance,Major Banks,https://old.nasdaq.com/symbol/ebmt,
EGBN,"Eagle Bancorp, Inc.",45.02,$1.43B,,Finance,Major Banks,https://old.nasdaq.com/symbol/egbn,
EGLE,Eagle Bulk Shipping Inc.,22.77,$282.98M,,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/egle,
EGRX,"Eagle Pharmaceuticals, Inc.",50.67,$660.24M,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/egrx,
EAR,"Eargo, Inc.",54.78,$2.09B,2020.0,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ear,
ERES,East Resources Acquisition Company,10.35,$446.34M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/eres,
ERESU,East Resources Acquisition Company,11.05,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/eresu,
ESSC,East Stone Acquisition Corporation,10.085,$178.54M,2020.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/essc,
ESSCU,East Stone Acquisition Corporation,11.2,,2020.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/esscu,
EWBC,"East West Bancorp, Inc.",61.52,$8.71B,,Finance,Major Banks,https://old.nasdaq.com/symbol/ewbc,
EBC,"Eastern Bankshares, Inc.",16.39,$3.06B,2020.0,Finance,Savings Institutions,https://old.nasdaq.com/symbol/ebc,
EML,Eastern Company (The),25.05,$156.38M,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/eml,
EAST,"Eastside Distilling, Inc.",1.38,$14.01M,,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/east,
EVGBC,Eaton Vance NextShares Trust,99.94,,,,,https://old.nasdaq.com/symbol/evgbc,
EVSTC,Eaton Vance NextShares Trust,99.98,,,,,https://old.nasdaq.com/symbol/evstc,
EVLMC,Eaton Vance NextShares Trust II,99.96,,,,,https://old.nasdaq.com/symbol/evlmc,
EBON,Ebang International Holdings Inc.,5.3,$694.49M,2020.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/ebon,
EBAY,eBay Inc.,55.42,$38.2B,1998.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ebay,
EBAYL,eBay Inc.,25.83,,,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ebayl,
EBIX,"Ebix, Inc.",42.5,$1.32B,,Technology,EDP Services,https://old.nasdaq.com/symbol/ebix,
ECHO,"Echo Global Logistics, Inc.",27.3,$726.4M,2009.0,Transportation,Oil Refining/Marketing,https://old.nasdaq.com/symbol/echo,
SATS,EchoStar Corporation,23.9,$2.32B,,Consumer Services,Telecommunications Equipment,https://old.nasdaq.com/symbol/sats,
MOHO,ECMOHO Limited,2.29,$80.56M,2019.0,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/moho,
EDAP,EDAP TMS S.A.,6.69,$194.96M,1997.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/edap,
EDSA,"Edesa Biotech, Inc.",4.84,$50.93M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/edsa,
EDIT,"Editas Medicine, Inc.",76.14,$4.8B,2016.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/edit,
ADOC,Edoc Acquisition Corp.,10.32,$125.3M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/adoc,
EDTXU,EdtechX Holdings Acquisition Corp. II,10.43,$149.93M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/edtxu,
EDUC,Educational Development Corporation,14.46,$120.76M,,Consumer Durables,Consumer Specialties,https://old.nasdaq.com/symbol/educ,
EGAN,eGain Corporation,11.34,$350.74M,1999.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/egan,
EH,EHang Holdings Limited,40.0,$2.19B,2019.0,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/eh,
EHTH,"eHealth, Inc.",71.06,$1.84B,2006.0,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/ehth,
